,0,1,2,3,4,5,6,7,8,9
2012-05-31,BLDR,ROL,MKTX,ODFL,SMCI,TDY,FITB,MHK,MAA,CPT
2012-06-29,BLDR,ROL,MKTX,ODFL,SMCI,FITB,TDY,POOL,MAA,FICO
2012-07-31,BLDR,ODFL,ROL,TMUS,SMCI,TDY,FITB,FICO,POOL,AIZ
2012-08-31,BLDR,FITB,URI,ROL,CSGP,SMCI,FICO,ODFL,POOL,MHK
2012-09-28,BLDR,URI,MKTX,DAL,ROL,FICO,SMCI,POOL,CSGP,ODFL
2012-10-31,BLDR,CNC,GNRC,URI,FICO,ROL,MKTX,MNST,ODFL,SMCI
2012-11-30,BLDR,URI,FICO,GNRC,ODFL,SMCI,TSN,MKTX,ROL,PWR
2012-12-31,BLDR,URI,UAL,GNRC,FICO,GM,ODFL,PWR,TSN,FAST
2013-01-31,BLDR,GM,URI,ODFL,FICO,GNRC,POOL,DAL,TSN,FAST
2013-02-28,BLDR,URI,GM,ODFL,GNRC,TSN,F,FAST,PWR,AOS
2013-03-29,BLDR,URI,GM,CMG,TSN,UAL,GNRC,F,HBAN,FICO
2013-04-30,BLDR,GM,UAL,TSN,URI,VMC,GNRC,RF,AAPL,DECK
2013-05-31,BLDR,URI,ENPH,GM,VMC,UAL,DAL,F,TSN,STLD
2013-06-28,BLDR,VLO,ENPH,GM,F,URI,DAL,MPC,MAS,APTV
2013-07-31,URI,GM,ODFL,BLDR,TSN,VMC,AOS,F,CMI,APTV
2013-08-30,ENPH,GM,BLDR,APTV,URI,VMC,MHK,JBHT,SMCI,DPZ
2013-09-30,ENPH,MHK,APTV,GM,BLDR,DAL,UAL,ROST,URI,VMC
2013-10-31,ENPH,BLDR,MHK,GM,SCHW,APTV,MAS,URI,SNA,MPC
2013-11-29,ENPH,BBY,SCHW,BLDR,RF,UAL,DAL,URI,MHK,PHM
2013-12-31,ENPH,MKTX,SCHW,RF,UAL,BLDR,F,DAL,TXT,HBAN
2014-01-31,BBY,MAS,MKTX,STLD,DAL,SCHW,UAL,LKQ,TXT,ELV
2014-02-28,DAL,MKTX,BBY,LKQ,UAL,URI,SCHW,KEY,BLDR,TXT
2014-03-31,MKTX,BLDR,LKQ,KEY,DAL,UAL,DRI,ELV,TXT,RF
2014-04-30,MKTX,BLDR,UAL,GNRC,KEY,PFG,HBAN,TSCO,STLD,RF
2014-05-30,FICO,UAL,BLDR,GNRC,KEY,SMCI,MKTX,HBAN,PFG,SCHW
2014-06-30,UAL,GNRC,FICO,KEY,DAL,ENPH,RF,HBAN,SMCI,WST
2014-07-31,BLDR,FICO,UAL,AVGO,DAL,VMC,GNRC,WST,BWA,SMCI
2014-08-29,BLDR,UAL,DAL,TXT,GNRC,VMC,KEY,XYL,SCHW,CI
2014-09-30,BLDR,UAL,XYL,TXT,DAL,URI,GNRC,BWA,VMC,KEY
2014-10-31,TXT,BLDR,KEY,FICO,BWA,ROK,GNRC,UAL,RJF,XYL
2014-11-28,BLDR,TXT,BWA,KEY,UAL,WST,GNRC,DAL,HBAN,DPZ
2014-12-31,BLDR,GNRC,BWA,KEY,UAL,RJF,HBAN,ROL,TXT,TDY
